source_state,target_state,indicator,lead_quarters,correlation,observations
LA,PA,coincident,1,-0.5354035172201792,39
NC,FL,coincident,1,-0.5351840981444553,39
AZ,NC,coincident,1,-0.5350614433471015,39
SD,TN,coincident,1,-0.5348676686836763,39
WI,FL,coincident,1,-0.5347024819322412,39
MO,TN,coincident,1,-0.5342280791637769,39
MO,MT,coincident,1,-0.5340407445181233,39
NC,RI,coincident,1,-0.5340211408939214,39
IL,KY,coincident,1,-0.533913748669212,39
ID,FL,coincident,1,-0.53389805487434,39
TX,TN,coincident,1,-0.5337214685414277,39
IL,SC,coincident,1,-0.5335574039256519,39
MD,RI,coincident,1,-0.5335330505020685,39
DE,AL,coincident,1,-0.5334286741496417,39
MS,IN,coincident,1,-0.5333907315884415,39
UT,IN,coincident,1,-0.5332938370697053,39
MO,VT,coincident,1,-0.5331610207023069,39
ND,MT,coincident,1,-0.5327693483562835,39
GA,RI,coincident,1,-0.5327622731809535,39
MN,MO,coincident,1,-0.5326635640994756,39
NC,NH,coincident,1,-0.5322995865278222,39
NH,VT,coincident,1,-0.5321431601273304,39
AZ,WI,coincident,1,-0.5321171995884144,39
TN,WI,coincident,1,-0.5320796117323158,39
VA,PA,coincident,1,-0.5319211969613371,39
GA,NH,coincident,1,-0.5318360485980677,39
ME,WV,coincident,1,-0.531695770588447,39
VT,WV,coincident,1,-0.5316517634508593,39
NM,TN,coincident,1,-0.5316333270149864,39
VA,MT,coincident,1,-0.5314125855840877,39
VT,NC,coincident,1,-0.5311476979102272,39
IA,WI,coincident,1,-0.5308756773075612,39
ME,ID,coincident,1,-0.5305643558198718,39
AZ,VT,coincident,1,-0.5305056613435634,39
MI,MS,coincident,1,-0.5296584652567571,39
WI,MT,coincident,1,-0.5296316250771509,39
OK,ME,coincident,1,-0.5294705913230139,39
SD,MO,coincident,1,-0.529455796529943,39
